"ID","area_median","area_mean","area_sd","eccentricity_median","eccentricity_mean","eccentricity_sd","min_median","min_mean","min_sd","max_median","max_mean","max_sd"
"36",4817.93771626298,4951.68442906574,669.050553102864,0.791014051577673,0.788205175883537,0.0206857016892876,62.8870179667205,62.2638613819589,4.73237290873489,100.182666108247,101.30585423404,6.82483232987274
"38",3404.78892733564,3349.33702422145,1107.04720085663,0.748701539450675,0.689893020552684,0.164678664272698,51.0077895158984,53.3621845868229,6.37873368561658,82.5170618360829,78.7676650373768,18.4403935021506
"39",3722.07612456747,3776.12179930796,988.715625874454,0.765028776851367,0.773364218699047,0.0442805519685649,55.4916864765994,54.6306127299798,7.11234018036037,91.5756195843177,87.2342502748081,13.6203619333068
"41",2764.95501730104,2719.16955017301,431.737522735993,0.774106343441838,0.767524160025432,0.0135372770808433,47.0797154935261,47.0840271244183,4.11348150224706,75.0001291923141,73.4358458313478,5.42323556529335
"42",4484.81660899654,4359.7508650519,843.905446867051,0.770712988699647,0.758277669112572,0.0628368498168071,61.3426312895639,59.7728619993209,6.69180241670317,96.0957297457197,92.7308036682514,9.7835516899285
"44",5319.52941176471,5142.32249134948,1190.82456173454,0.813176353814182,0.785801704307502,0.0611450242711684,64.3013694044598,63.06545208944,7.2592937545842,108.226979684549,103.618341456588,14.3830599965751
"45",2744.1384083045,3086.33910034602,1260.34638190564,0.783004063852094,0.745420554178157,0.100266545792206,47.3313582232077,49.6060911921799,9.04522863564505,76.2819156046325,77.106198430998,18.7731015462198
"46",2822.14532871972,3261.14325259516,1242.31327743554,0.739055141785369,0.765878296021752,0.0687815188825689,49.2608618575984,50.2360183052777,6.90652466132367,73.1258551132995,81.7005770912424,22.9271321480467
"48",4762.85121107266,4681.5446366782,930.637677231312,0.875152389363333,0.861191866698035,0.0494214833681811,55.7704790660828,54.7720084144679,3.16449949138011,114.782952381127,111.510504621094,19.8571086978139
"49",3488.2491349481,3518.17301038062,996.487326057028,0.819116993907181,0.750800801695317,0.162009296306404,52.1966474861901,52.1373012129953,4.8912325146494,89.7847147476964,85.7938617236493,19.0016457047553
"51",3737.41176470588,3648.49826989619,667.555840945641,0.791839301808205,0.792562474789788,0.0110813567167072,53.9734475020694,53.1689277601357,5.58473396182712,88.3753734689353,87.1162023736701,7.63402649883819
"52",4121.13494809689,3930.06505190311,519.917085304731,0.779814404539922,0.775158910090476,0.0417973222051391,58.0098976542649,56.2815986843043,5.87313971436739,88.5940453506092,89.3916967734973,3.26560762619926
"55",3503.6678200692,3317.28166089965,342.119754926031,0.793721090193919,0.788956892636423,0.0479832695511498,51.5370650851407,50.7739826603321,3.93048998076482,83.7904873337408,83.4751495156124,5.44295321849212
"57",3288.80276816609,3343.65674740484,984.12443609876,0.690790186985917,0.691804797127134,0.144304525941883,50.5388202056438,54.2183506676877,10.6621256161288,84.9010904009517,78.5212641434693,12.4806253355369
"58",2701.01038062284,2824.47058823529,1127.87351858014,0.731550895850977,0.738187833580868,0.0383722633321333,48.4824264238672,48.7451398301105,11.0804718427688,71.1108282213915,71.9538913427032,12.769839193312
"59",2608,3183.14740484429,1352.12936670913,0.744368006681999,0.749643910692239,0.0490483122186554,47.1132011040415,50.6748961617437,8.06824961817871,71.6606455255466,78.0623478685651,19.0990882037867
"60",3227.79238754325,3164.54901960784,140.269838207811,0.809579645798265,0.809973836555136,0.0396862895336729,49.1870394233105,48.5712151817497,1.37034409628541,83.7924998797917,83.5561162138972,5.74907573812446
