"ID","Sex","Age","Province","Treatment","Pigmentation_analysis","var","value"
7,"Female","20-30","Bougainville","None",TRUE,"section_area_sd",723.969637620864
7,"Female","20-30","Bougainville","None",TRUE,"section_eccentricity_median",0.784954523246893
7,"Female","20-30","Bougainville","None",TRUE,"section_eccentricity_mean",0.78578794701852
7,"Female","20-30","Bougainville","None",TRUE,"section_eccentricity_sd",0.0130558048753397
7,"Female","20-30","Bougainville","None",TRUE,"section_min_median",64.3352314060587
7,"Female","20-30","Bougainville","None",TRUE,"section_min_mean",62.4967326529513
7,"Female","20-30","Bougainville","None",TRUE,"section_min_sd",5.23453135809303
7,"Female","20-30","Bougainville","None",TRUE,"section_max_median",103.367937924226
7,"Female","20-30","Bougainville","None",TRUE,"section_max_mean",101.035360991867
7,"Female","20-30","Bougainville","None",TRUE,"section_max_sd",7.19496086692702
8,"Female","20-30","East New Britain","None",TRUE,"curv_mean",0.470984196211593
8,"Female","20-30","East New Britain","None",TRUE,"curv_median",0.457660134077551
8,"Female","20-30","East New Britain","None",TRUE,"length_mean",3.60726805230917
8,"Female","20-30","East New Britain","None",TRUE,"length_median",3.49437377861263
8,"Female","20-30","East New Britain","None",TRUE,"hair_count",31
8,"Female","20-30","East New Britain","None",TRUE,"section_area_median",4030.94809688581
8,"Female","20-30","East New Britain","None",TRUE,"section_area_mean",3756.14671280277
8,"Female","20-30","East New Britain","None",TRUE,"section_area_sd",675.353291171885
8,"Female","20-30","East New Britain","None",TRUE,"section_eccentricity_median",0.782388346301108
8,"Female","20-30","East New Britain","None",TRUE,"section_eccentricity_mean",0.776761927090609
8,"Female","20-30","East New Britain","None",TRUE,"section_eccentricity_sd",0.074967098664916
8,"Female","20-30","East New Britain","None",TRUE,"section_min_median",54.3327454934261
8,"Female","20-30","East New Britain","None",TRUE,"section_min_mean",54.1090720282221
8,"Female","20-30","East New Britain","None",TRUE,"section_min_sd",3.05642752743212
8,"Female","20-30","East New Britain","None",TRUE,"section_max_median",90.9321587742827
8,"Female","20-30","East New Britain","None",TRUE,"section_max_mean",88.6877774141152
8,"Female","20-30","East New Britain","None",TRUE,"section_max_sd",13.8204242763436
9,"Female","20-30","Morobe","None",TRUE,"curv_mean",0.377152865681579
9,"Female","20-30","Morobe","None",TRUE,"curv_median",0.414685922853477
9,"Female","20-30","Morobe","None",TRUE,"length_mean",4.07324103931334
9,"Female","20-30","Morobe","None",TRUE,"length_median",3.67554219838023
9,"Female","20-30","Morobe","None",TRUE,"hair_count",22
9,"Female","20-30","Morobe","None",TRUE,"section_area_median",4812.98269896194
9,"Female","20-30","Morobe","None",TRUE,"section_area_mean",4716.21314878893
9,"Female","20-30","Morobe","None",TRUE,"section_area_sd",1243.24595583153
9,"Female","20-30","Morobe","None",TRUE,"section_eccentricity_median",0.796243819123302
9,"Female","20-30","Morobe","None",TRUE,"section_eccentricity_mean",0.804233460062855
9,"Female","20-30","Morobe","None",TRUE,"section_eccentricity_sd",0.0370553203907267
9,"Female","20-30","Morobe","None",TRUE,"section_min_median",60.068001228699
9,"Female","20-30","Morobe","None",TRUE,"section_min_mean",59.293513993372
9,"Female","20-30","Morobe","None",TRUE,"section_min_sd",8.6520422042445
9,"Female","20-30","Morobe","None",TRUE,"section_max_median",107.87906115516
9,"Female","20-30","Morobe","None",TRUE,"section_max_mean",100.660217037773
9,"Female","20-30","Morobe","None",TRUE,"section_max_sd",14.4771607153213
11,"Male","20-30","Western Highlands","None",FALSE,"curv_mean",0.560316121211191
11,"Male","20-30","Western Highlands","None",FALSE,"curv_median",0.567070945172036
11,"Male","20-30","Western Highlands","None",FALSE,"length_mean",3.47278236680556
11,"Male","20-30","Western Highlands","None",FALSE,"length_median",3.19171594208716
11,"Male","20-30","Western Highlands","None",FALSE,"hair_count",15
11,"Male","20-30","Western Highlands","None",FALSE,"section_area_median",2821.20415224913
11,"Male","20-30","Western Highlands","None",FALSE,"section_area_mean",3360.14394463668
11,"Male","20-30","Western Highlands","None",FALSE,"section_area_sd",1186.80863646338
11,"Male","20-30","Western Highlands","None",FALSE,"section_eccentricity_median",0.80018997654068
11,"Male","20-30","Western Highlands","None",FALSE,"section_eccentricity_mean",0.788224428242826
11,"Male","20-30","Western Highlands","None",FALSE,"section_eccentricity_sd",0.0426682827583952
11,"Male","20-30","Western Highlands","None",FALSE,"section_min_median",45.3036934232078
11,"Male","20-30","Western Highlands","None",FALSE,"section_min_mean",50.5800949560909
11,"Male","20-30","Western Highlands","None",FALSE,"section_min_sd",7.94930535569146
11,"Male","20-30","Western Highlands","None",FALSE,"section_max_median",80.4354065183869
11,"Male","20-30","Western Highlands","None",FALSE,"section_max_mean",83.2548558919438
11,"Male","20-30","Western Highlands","None",FALSE,"section_max_sd",15.9056264858163
12,"Male","20-30","Jiwaka","None",FALSE,"curv_mean",0.465644292633877
12,"Male","20-30","Jiwaka","None",FALSE,"curv_median",0.522437808639635
12,"Male","20-30","Jiwaka","None",FALSE,"length_mean",3.87500936893854
12,"Male","20-30","Jiwaka","None",FALSE,"length_median",3.85094176639695
12,"Male","20-30","Jiwaka","None",FALSE,"hair_count",19
12,"Male","20-30","Jiwaka","None",FALSE,"section_area_median",2264.96885813149
12,"Male","20-30","Jiwaka","None",FALSE,"section_area_mean",2617.5446366782
12,"Male","20-30","Jiwaka","None",FALSE,"section_area_sd",1327.04879573191
