"ID","Sex","Age","Province","Treatment","Pigmentation_analysis","curv_mean","curv_median","length_mean","length_median","hair_count","section_area_median","section_area_mean","section_area_sd","section_eccentricity_median","section_eccentricity_mean","section_eccentricity_sd","section_min_median","section_min_mean","section_min_sd","section_max_median","section_max_mean","section_max_sd"
23,"Male","20-30","Western Highlands","None",TRUE,0.421146881036025,0.453026207360224,3.34300768379416,3.28268780464706,26,3459.04498269896,3368.72525951557,1346.34639544405,0.767081042483423,0.748996555630072,0.101686526107443,49.138172302401,52.2996507035385,14.3139613758218,86.9908001970396,79.8912512550318,13.7415951479629
25,"Male","30-40","Enga","None",TRUE,0.464121442592082,0.472734381048998,3.17430335539978,3.15255394457385,35,3567.50173010381,3331.65397923875,384.566834186593,0.800660546751943,0.803010760802776,0.0169405491306418,51.1091082011174,50.2391440720998,2.60361559527268,85.6557866169099,84.5122975474719,6.06756376294175
27,"Female","20-30","Central Province","None",TRUE,0.118894022234945,0.11375031662022,3.23435015567596,3.1459035878218,17,4395.84775086505,4311.87266435986,1101.85248709079,0.746013238868149,0.76112382939392,0.0305462601788886,61.1600323040079,59.4248893307918,9.51835055927991,93.7774907149774,91.4326337406415,10.6327708908135
28,"Female","20-30","East Sepik/Milne Bay","Colour/Bleach",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Female","20-30","Central Province","None",TRUE,0.160619581035846,0.131033459900534,2.95507314459159,2.87865292388243,26,3949.01038062284,3943.35224913495,496.536936287796,0.686458496382723,0.662926450594758,0.0878973031480903,59.559522283405,60.943742343481,4.20580791308971,80.7778294499377,82.4619143539405,6.81696988942833
30,"Female","20-30","Milne Bay","Colour/Bleach",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Female","20-30","Manus","None",TRUE,0.326660566576168,0.336211002235596,3.18941288004024,3.03498286869951,27,3251.59861591696,3271.77301038062,439.445774088912,0.811731121967158,0.794557429476051,0.0541526005335917,48.5146129799672,50.2351233451617,5.6586414214082,83.9731719247961,83.4211268728532,3.86551290230057
32,"Female","20-30","New Ireland","Mega Growth Relaxer",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Male","20-30","Southern Highlands","None",TRUE,0.657113756212754,0.65983236433057,4.95066200350627,5.09258350982615,8,3536.276816609,4306.96747404844,1586.01613036446,0.790146389586248,0.787912642625466,0.0368873560683805,52.2289857603526,57.6546827627737,12.685996687363,89.1488294916985,93.258239477975,14.0732168232035
34,"Female","20-30","Madang","None",TRUE,0.249638382638402,0.233076915536812,3.22820067494729,2.8747219104305,19,3497.96539792388,3855.78961937716,736.489381871565,0.740535241919296,0.732126787947588,0.0353287651395363,54.903627925296,57.741830971014,6.1517269514658,84.7037404158048,84.9790861389009,7.49319628189608
36,"Female","20-30","Eastern Highlands","None",TRUE,0.39907947857521,0.384554213223572,3.54635267706815,3.42893739999455,18,4817.93771626298,4951.68442906574,669.050553102864,0.791014051577673,0.788205175883537,0.0206857016892876,62.8870179667205,62.2638613819589,4.73237290873489,100.182666108247,101.30585423404,6.82483232987274
37,"Female","20-30","Bougainville","Mega Growth Relaxer",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Female","20-30","Central Province","None",TRUE,0.143032483730823,0.128194049356104,3.11395233256399,3.28736943502032,22,3404.78892733564,3349.33702422145,1107.04720085663,0.748701539450675,0.689893020552684,0.164678664272698,51.0077895158984,53.3621845868229,6.37873368561658,82.5170618360829,78.7676650373768,18.4403935021506
39,"Female","20-30","East Sepik/Central Province","None",FALSE,0.553690979937077,0.55623091770925,3.38770748793013,3.52719819814816,26,3722.07612456747,3776.12179930796,988.715625874454,0.765028776851367,0.773364218699047,0.0442805519685649,55.4916864765994,54.6306127299798,7.11234018036037,91.5756195843177,87.2342502748081,13.6203619333068
40,"Female","20-30","East New Britain","Mega Growth Relaxer",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Male","20-30","New Ireland","None",TRUE,0.472886040440716,0.531752143886991,3.23102628894202,3.11860666912351,14,2764.95501730104,2719.16955017301,431.737522735993,0.774106343441838,0.767524160025432,0.0135372770808433,47.0797154935261,47.0840271244183,4.11348150224706,75.0001291923141,73.4358458313478,5.42323556529335
42,"Female","20-30","Oro","None",TRUE,0.172925012563652,0.145284957962513,3.19607874619844,3.11377688871777,14,4484.81660899654,4359.7508650519,843.905446867051,0.770712988699647,0.758277669112572,0.0628368498168071,61.3426312895639,59.7728619993209,6.69180241670317,96.0957297457197,92.7308036682514,9.7835516899285
43,"Female","20-30","East Sepik","Mega Growth Relaxer",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Female","20-30","Central Province","None",TRUE,0.341767802757483,0.378846246106624,3.02216963060537,2.76395369788951,19,5319.52941176471,5142.32249134948,1190.82456173454,0.813176353814182,0.785801704307502,0.0611450242711684,64.3013694044598,63.06545208944,7.2592937545842,108.226979684549,103.618341456588,14.3830599965751
45,"Male","20-30","Western Highlands","None",TRUE,0.151676252972962,0.158808928577751,3.55364305055418,3.44087894456392,21,2744.1384083045,3086.33910034602,1260.34638190564,0.783004063852094,0.745420554178157,0.100266545792206,47.3313582232077,49.6060911921799,9.04522863564505,76.2819156046325,77.106198430998,18.7731015462198
46,"Female","20-30","Western Highlands","None",TRUE,0.356893739053625,0.526307626614536,2.58124241597249,2.61609717880736,30,2822.14532871972,3261.14325259516,1242.31327743554,0.739055141785369,0.765878296021752,0.0687815188825689,49.2608618575984,50.2360183052777,6.90652466132367,73.1258551132995,81.7005770912424,22.9271321480467
48,"Female","20-30","Central Province","None",TRUE,0.345838491219795,0.34029128655289,3.26684808961253,3.22975348164729,12,4762.85121107266,4681.5446366782,930.637677231312,0.875152389363333,0.861191866698035,0.0494214833681811,55.7704790660828,54.7720084144679,3.16449949138011,114.782952381127,111.510504621094,19.8571086978139
49,"Male","20-30","West New Britain","None",TRUE,0.394431785904495,0.425775762260352,4.08247579160529,3.37643251108226,27,3488.2491349481,3518.17301038062,996.487326057028,0.819116993907181,0.750800801695317,0.162009296306404,52.1966474861901,52.1373012129953,4.8912325146494,89.7847147476964,85.7938617236493,19.0016457047553
50,"Female","20-30","Western Highlands","Mega Growth Relaxer",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Male","20-30","Enga","None",TRUE,0.575420640671123,0.692196422788987,3.2477519763301,3.20127930508039,8,3737.41176470588,3648.49826989619,667.555840945641,0.791839301808205,0.792562474789788,0.0110813567167072,53.9734475020694,53.1689277601357,5.58473396182712,88.3753734689353,87.1162023736701,7.63402649883819
52,"Female","20-30","East Sepik","None",TRUE,0.350363437547681,0.312154687054716,3.87083517959091,3.76933256903265,19,4121.13494809689,3930.06505190311,519.917085304731,0.779814404539922,0.775158910090476,0.0417973222051391,58.0098976542649,56.2815986843043,5.87313971436739,88.5940453506092,89.3916967734973,3.26560762619926
55,"Female","20-30","Bougainville","None",TRUE,0.23424917023641,0.212134587218941,3.30530245359251,3.41086009335456,23,3503.6678200692,3317.28166089965,342.119754926031,0.793721090193919,0.788956892636423,0.0479832695511498,51.5370650851407,50.7739826603321,3.93048998076482,83.7904873337408,83.4751495156124,5.44295321849212
57,"Female","30-40","Enga","None",FALSE,0.429688993631011,0.494870214702224,4.32559055566055,4.11666177920718,22,3288.80276816609,3343.65674740484,984.12443609876,0.690790186985917,0.691804797127134,0.144304525941883,50.5388202056438,54.2183506676877,10.6621256161288,84.9010904009517,78.5212641434693,12.4806253355369
58,"Female","30-40","Madang","None",FALSE,1.11668412232016,1.0983038993157,1.8538724370815,1.80175771862674,42,2701.01038062284,2824.47058823529,1127.87351858014,0.731550895850977,0.738187833580868,0.0383722633321333,48.4824264238672,48.7451398301105,11.0804718427688,71.1108282213915,71.9538913427032,12.769839193312
59,"Female","20-30","Enga","None",TRUE,0.359683008414194,0.329744796698647,3.15123695123298,2.83910758248306,12,2608,3183.14740484429,1352.12936670913,0.744368006681999,0.749643910692239,0.0490483122186554,47.1132011040415,50.6748961617437,8.06824961817871,71.6606455255466,78.0623478685651,19.0990882037867
60,"Female","20-30","East New Britain","None",TRUE,0.32159485930778,0.316273547171595,3.62010901035287,2.9789993312394,33,3227.79238754325,3164.54901960784,140.269838207811,0.809579645798265,0.809973836555136,0.0396862895336729,49.1870394233105,48.5712151817497,1.37034409628541,83.7924998797917,83.5561162138972,5.74907573812446
62,"Female","20-30","Eastern Highlands","None",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Female","20-30","Morobe","Mega Growth Relaxer",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Female","20-30","Manus","None",TRUE,0.288521904301732,0.285372166942473,2.69843247935876,2.50890601994537,13,3637.70242214533,3459.11141868512,556.774001003449,0.793734075990202,0.786592477643086,0.0466137712676328,52.0236540149808,51.9557829720599,4.84750545740349,88.6533728637497,85.0931485371234,8.69472610171726
67,"Female","20-30","Southern Highlands","None",FALSE,0.295927897590375,0.286498024970255,3.67487619611425,3.59340533136398,20,4972.78892733564,4744.1937716263,1069.6285362858,0.811175378056871,0.814597438593399,0.0172020064731906,61.3002410267068,59.3499945290052,7.7485884303965,105.519738000725,102.318069474455,11.2528808608284
68,"Male","20-40","Milne Bay","None",TRUE,0.183758004945636,0.184965050313815,3.21544923352986,3.29316406972951,4,5078.75432525952,5046.5107266436,627.169847650149,0.721544714791186,0.664852455006172,0.102854145788973,70.2504210848914,68.7944602162309,6.05301061600438,95.6560612574364,93.7193194017787,7.52036238043005
