,ID,curv_mean,curv_median,length_mean,length_median,hair_count
0,PNG85,0.5550424824552209,0.5745980847358523,4.10948254686688,3.548215354152515,23
0,PNG86,0.37582479612681424,0.426374751940145,3.4186759035053935,3.084488297776398,31
0,PNG87,0.4122615753381245,0.2953556117968277,4.002361306241395,3.2171684243945773,21
0,PNG88,0.5821464747207474,0.6166234676287085,3.8020007741629147,2.704946229950875,19
0,PNG89,0.32184276830095937,0.2875841670263445,2.712964720852574,2.4520131482451495,36
0,PNG9,0.408712580947201,0.4115264711219162,3.7870735971616347,3.765685201335327,21
0,PNG91,0.49364207536690596,0.5231801581558173,2.7648798336538305,2.441889081054178,33
0,PNG93,0.38501896327350643,0.3861029752712731,2.737104753232805,2.404612943489421,29
0,PNG94,0.6250105681209958,0.6785714412037166,3.924798564720485,3.5402599943737227,21
0,PNG95,0.5446380827728399,0.5387361869401543,2.733424406800649,2.7473457955066998,27
0,PNG96,0.48468800332293094,0.458279242271346,2.9138143512509678,2.53423076136187,20
0,PNG97,0.5282160213155765,0.5278261376321866,2.6019658501256053,2.3365400451044813,21
